0 90,0.85994,0.83733,48.70706,926.45584,3524.50034,73.25894,701.96374,3125.99231,412.94509,491.2902,805.65882,1297516,46454
0 80,1.00000,1.00000,73.25894,701.96374,3125.99231,20.05801,917.99527,3453.79071,1974.10196,1045.27059,150.89412,464934,40086
1 46,1.00000,1.00000,20.05801,917.99527,3453.79071,4.42594,837.20427,3361.74033,468.94902,2459.12157,5135.78824,1810868,57691
0 54,0.80429,0.69475,4.42594,837.20427,3361.74033,26.68261,754.55931,3054.43579,2107.01176,1905.23922,1750.04314,745987,39736
1 24,0.82952,0.99119,26.68261,754.55931,3054.43579,0.00000,827.95813,3341.64954,3576.77255,515.0902,2116.93333,1413886,46941
0 46,0.19311,0.19144,0.00000,827.95813,3341.64954,41.00487,707.85171,2954.38968,702.14902,498.26667,516.54117,873953,50492
1 44,1.00000,1.00000,41.00487,707.85171,2954.38968,19.95338,992.72168,3688.31384,621.38824,443.97255,570.55686,1451097,45919
0 43,0.56953,0.55543,19.95338,992.72168,3688.31384,20.67802,594.24706,2725.57724,319.91765,522.05098,1063.34902,1463937,49086
1 47,0.96452,0.81121,20.67802,594.24706,2725.57724,27.52048,918.53999,3515.78455,6121.97647,4818.00784,2505.35294,674386,34578
1 53,0.91327,0.58825,27.52048,918.53999,3515.78455,0.00000,658.20105,2867.26294,2970.58431,1387.47843,535.23137,1189366,54088
0 49,0.83911,0.82184,0.00000,658.20105,2867.26294,19.51645,961.03690,3619.26855,179.80392,92.21176,314.02745,481489,37381
1 40,0.94509,0.98351,19.51645,961.03690,3619.26855,36.57239,658.60922,2957.04678,954.72549,754.36471,2619.92941,1178378,54546
1 37,0.48142,0.40859,36.57239,658.60922,2957.04678,27.01273,934.37434,3478.52765,711.06275,898.79608,2952.19216,1053736,44793
1 41,1.00000,1.00000,27.01273,934.37434,3478.52765,30.57633,1015.96430,3625.54636,112.19216,1403.21176,3197.10196,1322063,56898
0 68,0.91795,0.94597,30.57633,1015.96430,3625.54636,0.00000,4094.62981,7754.11124,601.47843,556.47843,577.72941,394717,37066
1 46,0.14439,0.88758,0.00000,4094.62981,7754.11124,0.00000,2820.14194,6104.74466,13262.23137,21963.91765,44451.60784,4999629,77462
0 50,0.95314,0.78340,0.00000,2820.14194,6104.74466,18.87425,1639.94962,4814.34744,3490.10196,6169.30196,10255.96471,1949684,53848
0 17,0.70378,0.95186,18.87425,1639.94962,4814.34744,47.76989,1991.23546,5336.54572,10967.27451,16792.28627,32194.96078,1427399,45376
